datetime,value
2025-06-05 05:30:00,15.7925
2025-06-05 05:40:00,16.709
2025-06-05 05:50:00,15.893857
2025-06-05 06:00:00,14.631
2025-06-05 06:10:00,16.445286
2025-06-05 06:20:00,16.451143
2025-06-05 06:30:00,16.335428
2025-06-05 06:40:00,16.353428
2025-06-05 06:50:00,16.462715
2025-06-05 07:00:00,16.625572
2025-06-05 07:10:00,17.329714
2025-06-05 07:20:00,17.412333
2025-06-05 07:30:00,17.50343
2025-06-05 07:40:00,17.824572
2025-06-05 07:50:00,18.344143
2025-06-05 08:00:00,18.427166
2025-06-05 08:10:00,18.725399
2025-06-05 08:20:00,19.062626
2025-06-05 08:30:00,18.987286
2025-06-05 08:40:00,20.934286
2025-06-05 08:50:00,19.097666
2025-06-05 09:00:00,19.591667
2025-06-05 09:10:00,18.450556
2025-06-05 09:20:00,17.80875
2025-06-05 09:30:00,17.3857
2025-06-05 09:40:00,17.718666
2025-06-05 09:50:00,17.94111
2025-06-05 10:00:00,18.3646
2025-06-05 10:10:00,19.25389
2025-06-05 10:20:00,19.698
2025-06-05 10:30:00,19.317999
2025-06-05 10:40:00,19.387
2025-06-05 10:50:00,19.95211
2025-06-05 11:00:00,20.043667
2025-06-05 11:10:00,20.333374
2025-06-05 11:20:00,20.926556
2025-06-05 11:30:00,21.061777
2025-06-05 11:40:00,21.239222
2025-06-05 11:50:00,21.2404
2025-06-05 12:00:00,20.781223
2025-06-05 12:10:00,20.618444
2025-06-05 12:20:00,21.076889
2025-06-05 12:30:00,20.5283
2025-06-05 12:40:00,20.961111
2025-06-05 12:50:00,20.784111
2025-06-05 13:00:00,21.2054
2025-06-05 13:10:00,22.742556
2025-06-05 13:20:00,23.192375
2025-06-05 13:30:00,23.092667
2025-06-05 13:40:00,22.55525
2025-06-05 13:50:00,22.46511
2025-06-05 14:00:00,22.886444
2025-06-05 14:10:00,24.112
2025-06-05 14:20:00,25.811222
2025-06-05 14:30:00,26.683332
2025-06-05 14:40:00,28.515285
2025-06-05 14:50:00,30.0746
2025-06-05 15:00:00,30.351143
2025-06-05 15:10:00,29.537556
2025-06-05 15:20:00,30.82625
2025-06-05 15:30:00,31.280111
2025-06-05 15:40:00,31.328667
2025-06-05 15:50:00,30.213572
2025-06-05 16:00:00,30.8339
2025-06-05 16:10:00,34.205223
2025-06-05 16:20:00,33.50189
2025-06-05 16:30:00,33.706573
2025-06-05 16:40:00,35.319
2025-06-05 16:50:00,35.11725
2025-06-05 17:00:00,36.030376
2025-06-05 17:10:00,36.98825
2025-06-05 17:20:00,35.927
2025-06-05 17:30:00,35.638443
2025-06-05 17:40:00,35.506447
2025-06-05 17:50:00,33.4483
2025-06-05 18:00:00,33.65511
2025-06-05 18:10:00,32.660446
2025-06-05 18:20:00,32.616123
2025-06-05 18:30:00,29.098444
2025-06-05 18:40:00,27.686779
2025-06-05 18:50:00,28.903334
2025-06-05 19:00:00,28.1404
2025-06-05 19:10:00,27.85089
2025-06-05 19:20:00,27.786556
2025-06-05 19:30:00,26.619112
2025-06-05 19:40:00,24.2543
2025-06-05 19:50:00,23.704111
2025-06-05 20:00:00,22.312334
2025-06-05 20:10:00,20.677221
